Distance,Theater,Movie Name,Duration,User Rating,Metascore,Rank,Showtime
Within 10 miles ,Serra Theatres,Shyam Singha Roy (2021),155 min,-/10,None,>1000,2:00pm 5:00 8:00 11:00 
Within 20 miles ,AMC NewPark 12,A Journal for Jordan (2021),131 min,-/10,None,<500,1:10pm 4:10 7:10 10:10 
Within 20 miles ,AMC NewPark 12,American Underdog (2021),112 min,-/10,None,90,11:30am 2:20pm 5:10 8:00 10:45 
Within 20 miles ,AMC NewPark 12,Encanto (2021),102 min,7.6/10,75,21,12:00pm 3:00 
Within 20 miles ,AMC NewPark 12,Licorice Pizza (2021),133 min,8.4/10,91,14,12:00pm 3:10 6:20 9:30 
Within 20 miles ,AMC NewPark 12,Nightmare Alley (2021),150 min,7.5/10,68,11,12:00pm 3:30 7:00 10:20 
Within 20 miles ,AMC NewPark 12,Sing 2 (2021),112 min,7.4/10,None,40,11:45am 12:45pm 2:30 3:30 5:15 8:00 9:40 
Within 20 miles ,AMC NewPark 12,Spider-Man: No Way Home (2021),148 min,9/10,71,1,11:45am 12:15pm 12:45 3:15 4:30 6:45 7:15 8:15 10:15 10:45 6:15pm 
Within 20 miles ,AMC NewPark 12,The King's Man (2021),131 min,6.9/10,None,26,1:00pm 4:20 7:30 10:35 
Within 20 miles ,AMC NewPark 12,The Matrix Resurrections (2021),148 min,6.1/10,65,4,11:30am 3:00pm 3:45 6:30 10:00 10:45 
Within 20 miles ,AMC NewPark 12,West Side Story (2021),156 min,7.9/10,85,3,6:00pm 9:40 
Within 20 miles ,Century at Pacific Commons and XD,'83 (2021),162 min,5.9/10,None,>1000,2:15pm 6:05 9:45 10:35am 
Within 20 miles ,Century at Pacific Commons and XD,A Journal for Jordan (2021),131 min,-/10,None,<500,10:00am 1:10pm 4:20 7:30 10:40 
Within 20 miles ,Century at Pacific Commons and XD,American Underdog (2021),112 min,-/10,None,90,10:45am 1:35pm 4:25 7:15 10:05 
Within 20 miles ,Century at Pacific Commons and XD,Encanto (2021),102 min,7.6/10,75,21,10:40am 1:30pm 4:35 7:25 10:10 
Within 20 miles ,Century at Pacific Commons and XD,House of Gucci (2021),158 min,6.9/10,None,10,10:05am 
Within 20 miles ,Century at Pacific Commons and XD,Nightmare Alley (2021),150 min,7.5/10,68,11,11:45am 6:55pm 
Within 20 miles ,Century at Pacific Commons and XD,Shyam Singha Roy (2021),155 min,-/10,None,>1000,10:55am 2:35pm 6:15 9:50 
Within 20 miles ,Century at Pacific Commons and XD,Sing 2 (2021),112 min,7.4/10,None,40,10:15am 1:05pm 2:10 3:55 6:45 9:35 11:15am 
Within 20 miles ,Century at Pacific Commons and XD,Spider-Man: No Way Home (2021),148 min,9/10,71,1,10:30am 11:10 11:50 12:35pm 1:40 2:05 2:45 3:25 4:10 5:10 5:40 6:20 7:00 7:45 8:40 9:15 9:55 10:35 6:40pm 
Within 20 miles ,Century at Pacific Commons and XD,The King's Man (2021),131 min,6.9/10,None,26,10:10am 1:20pm 4:30 7:40 10:50 
Within 20 miles ,Century at Pacific Commons and XD,The Matrix Resurrections (2021),148 min,6.1/10,65,4,12:30pm 3:55 5:00 7:20 8:30 10:15 10:45 
Within 20 miles ,Century at Pacific Commons and XD,West Side Story (2021),156 min,7.9/10,85,3,3:15pm 10:25 
Within 20 miles ,Century Cinema 16,'83 (2021),162 min,5.9/10,None,>1000,10:40am 6:30pm 
